Reference Voltage (V):,6.3,Reference Luminance (lm sr^-1 m^-2):,315000.0
Voltage (V),Temperature (K),X,Y,Z,Red,Green,Blue
5.0,2232.263344970409,148129.24412840753,121145.27865527659,23417.06064057491,40825.202813654534,17443.765390271587,4009.684933482457
6.0,2394.1481796121975,307614.6569296177,259151.97155876676,60375.72038590737,82605.59251773507,38321.175576006746,10405.296576663923
7.0,2540.145499149748,550228.748519354,474595.1605562659,128125.80397021268,144335.24083643715,71650.71760867222,22179.20788181629
8.0,2673.7912719839405,887718.8118751233,780558.686329988,237678.26166351116,227941.96016812493,119837.07844985767,41275.37640767886
9.0,2797.499837117179,1328727.7798354083,1187196.7673096189,399844.47313516575,334535.8636974943,184825.30751877418,69606.72854722185
10.0,2913.0030965638375,1879285.607601387,1702045.677158602,624806.1088829624,464601.16628663044,268127.9398062905,108977.99672601795
11.0,3021.591411479443,2543298.726896957,2330414.2107648137,921870.8716325253,618159.2812868883,370875.1023270756,161041.55116504946
12.0,3124.2555124854484,3322982.7624911205,3075768.8071760186,1299357.2549969777,794898.336159267,493870.47058224306,227276.23485604904
13.0,3221.774898944161,4219225.169834867,3940079.4483681675,1764563.8764432007,994272.5809650098,637645.0408337474,308981.3385636229
14.0,3314.775436965301,5231880.974014824,4924116.252272078,2323791.563831701,1215577.25578484,802505.3836654995,407280.0614647091
15.0,3403.7683037142524,6360010.416195319,6027697.354889977,2982396.4436958204,1458004.3094268595,988575.3845492484,523128.5792492975
16.0,3489.1771494629943,7602068.348823474,7249892.983038987,3744859.6057936973,1720683.5047805847,1195831.5849540478,657328.1399310428
17.0,3571.3575492315863,8956054.465764726,8589191.91433565,4614864.01569413,2002712.5025096692,1424132.7133415577,810538.5139582676
18.0,3650.611253605116,10419632.130993683,10043636.458657933,5595372.8047473915,2303178.6848489707,1673244.1545156252,983291.7416652584
19.0,3727.1968384481993,11990222.191963833,11610931.481010098,6688705.37328705,2621174.8112624693,1942858.112530658,1176005.533330074
20.0,3801.3378034942343,13665076.926035676,13288532.203004997,7896609.26090246,2955810.078222512,2232610.161466346,1388995.9490670701
21.0,3873.2288268358157,15441338.225915028,15073714.743380345,9220326.723081678,3306217.7607785743,2542092.7928022766,1622489.1628012992
22.0,3943.0406623045606,17316083.280655406,16963632.658630226,10660655.58258801,3671560.3169968044,2870866.4789107116,1876632.2279204808
23.0,4010.924021996292,19286360.32894076,18955362.14514589,12218004.316152053,4051032.614526471,3218468.6889465675,2151502.8331515514
24.0,4077.0126888623854,21349216.522502266,21045938.063767597,13892441.572960163,4443863.772926349,3584421.219906788,2447118.080119105
25.0,4141.426037510975,23501719.512509625,23232382.53651727,15683740.454989428,4849317.991700276,3968236.1426949822,2763442.33855473
26.0,4204.271094717274,25740974.037244357,25511727.530716825,17591417.95656792,5266694.64150827,4369420.610129617,3100394.247695815
27.0,4265.644238024014,28064134.52610439,27881032.574922502,19614769.985672783,5695327.826736217,4787480.729878145,3457852.9373491458
28.0,4325.632606945695,30468414.527616493,30337398.532597505,21752902.388387144,6134585.575589288,5221924.66903044,3835663.5422658613
29.0,4384.31528385357,32951093.605511356,32877978.183339007,24004758.3811662,6583868.77473547,5672265.127224347,4233642.080777515
30.0,4441.764288718764,35509522.217526995,35499984.21956283,26369142.770027727,7042609.936012709,6138021.290808411,4651579.764325266
31.0,4498.045422236933,38141124.98904377,38200695.15212586,28844743.30596395,7510271.860419291,6618720.360525292,5089246.799386121
32.0,4553.218984554988,40843402.712142274,40977459.525999404,31430149.494622998,7986346.247741111,7113898.728823867,5546395.7378797205
33.0,4607.340391241014,43613933.33572306,43827698.7724469,34123869.1474007,8470352.287395196,7623102.869497906,6022764.426749821
34.0,4660.460703836068,46450372.16043875,46748908.963704996,36924342.931569375,8961835.25639218,8145889.991355914,6518078.602249906
35.0,4712.62708898019,49350451.41062236,49738661.68713435,39829957.149527706,9460365.142987328,8681828.498606367,7032054.169630125
36.0,4763.883217480984,52311979.322025806,52794604.21596467,42839054.95195906,9965535.309042603,9230498.29323046,7564399.204475774
37.0,4814.269612620134,55332838.85732447,55914459.12132567,45949946.166715644,10476961.199931556,9791490.948515289,8114815.707903151
38.0,4863.823955343618,58410986.13968041,59096023.44380703,49160915.90455338,10994279.107664095,10364409.777894067,8683001.144170547
39.0,4912.581352660114,61544448.677152194,62337167.521189734,52470232.08432192,11517144.990544433,10948869.819092317,9268649.78599341
40.0,4960.574574506875,64731323.43656562,65635833.55131064,55876152.00370388,12045233.350917146,11544497.750148853,9871453.88993611
41.0,5007.834263478665,67969774.8139658,68990033.9545452,59376928.06693815,12578236.171257827,12150931.751043534,10491104.721660966
42.0,5054.389121110895,71258032.53944048,72397849.58850525,62970812.76796667,13115861.907922907,12767821.322309569,11127293.448516022
43.0,5100.266073830614,74594389.54651539,75857427.85779099,66656063.01595849,13657834.541196955,13394827.070056412,11779711.91490965
44.0,5145.4904212130805,77977199.83015028,79366980.75360541,70430943.88000953,14203892.679808581,14031620.46520534,12448053.314121198
45.0,5190.085968787602,81404876.31234014,82924782.85143523,74293731.82086521,14753788.717772633,14677883.583390137,13132012.768610397
46.0,5234.075147308555,84875888.73022942,86529169.28956017,78242717.46961044,15307288.041220387,15333308.830850985,13831287.829487039
47.0,5277.479120133629,88388761.55831903,90178533.74666686,82276208.00630282,15864168.282775568,15997598.660711193,14545578.90456618
48.0,5320.317880121631,91942071.97362925,93871326.43315338,86392529.18538967,16424218.620990958,16670465.283246426,15274589.623345362
49.0,5362.61033726865,95534447.87047891,97606052.10766062,90590027.04932678,16987239.12237161,17351630.373101648,16018027.146277588
50.0,5404.374398137821,99164565.92974693,101381268.12786293,94867069.36704753,17553040.123552185,18040824.77586779,16775602.424866773
51.0,5445.627037999062,102831149.74603331,105195582.54248422,99222046.8297152,18121441.651266616,18737788.21597446,17547030.41836338
52.0,5486.3843664769765,106532968.01496021,109047652.22980674,103653374.03247343,18692272.877833474,19442269.00747498,18332030.272177253
53.0,5526.661687404134,110268832.78191331,112936181.08655155,108159490.26763353,19265371.60997856,20154023.76898386,19130325.462542135
54.0,5566.473553490331,114037597.75275873,116859918.26986258,112738860.15182982,19840583.808918983,20872817.143761404,19941643.91144941
55.0,5605.833816344096,117838156.6664752,120817656.4941968,117389974.10712183,20417763.13974263,21598421.525719773,20765718.07541445
56.0,5644.755672318469,121669441.72915792,124808230.38416487,122111348.71375132,20996770.548222993,22330616.791941676,21602285.01123507
57.0,5683.25170459766,125530422.10847828,128830514.88374731,126901526.95026283,21577473.863317672,23069190.04214929,22451086.421545576
58.0,5721.333921893032,129420102.48739412,132883423.72182092,131759078.33491796,22159747.42370256,23813935.34543553,23311868.682653334
59.0,5759.013794075094,133337521.67568803,136965907.93352965,136682598.98077044,22743471.726795923,24564653.494464032,24184382.85686647
