Voltage (V),Temperature (K),Red,Green,Blue
10.0,3591.158569551818,6.688210022523789e-07,5.734656079256514e-07,2.1501843628230382e-07
11.0,3725.0265555221586,8.580911162195698e-07,7.424086267986407e-07,2.947955692173315e-07
12.0,3851.5911535989494,1.0692703626987223e-06,9.325234067177886e-07,3.894335173004611e-07
13.0,3971.8133328310087,1.3011909699281938e-06,1.1428999930775585e-06,4.991541064783063e-07
14.0,4086.464662752871,1.5526696773618777e-06,1.372573987764583e-06,6.240240713816638e-07
15.0,4196.175324039659,1.8225392853181752e-06,1.620562591639945e-06,7.639880712086606e-07
16.0,4301.467593961351,2.1096683246186277e-06,1.885888764809814e-06,9.188957441507079e-07
17.0,4402.779826422175,2.4129727772374338e-06,2.1675971254347116e-06,1.0885236625716336e-06
18.0,4500.484020408599,2.731422487986432e-06,2.4647641032885384e-06,1.2725930379142797e-06
19.0,4594.898948987906,3.064044047887305e-06,2.7765041008432108e-06,1.4707839357564096e-06
20.0,4686.300143272244,3.4099213551812627e-06,3.101972887061267e-06,1.6827466507471786e-06
21.0,4774.927602972341,3.7681946733046996e-06,3.4403690833795283e-06,1.9081107822751556e-06
22.0,4860.991833901397,4.138058743429125e-06,3.7909343467410575e-06,2.146492454308356e-06
23.0,4944.678634363261,4.518760330915723e-06,4.1529526763385774e-06,2.3975000397507153e-06
24.0,5026.152932363969,4.909595462990568e-06,4.525749145382291e-06,2.660738680634239e-06
25.0,5105.561893262697,5.309906531014538e-06,4.908688270596722e-06,2.935813839015231e-06
26.0,5183.037459974793,5.719079372812486e-06,5.301172169241233e-06,3.2223340677007877e-06
27.0,5258.69844701127,6.136540410497881e-06,5.702638608619348e-06,3.5199131530645606e-06
28.0,5332.652280215446,6.561753891557617e-06,6.1125590210065374e-06,3.828171752581714e-06
29.0,5404.996452561345,6.994219261870657e-06,6.530436533990976e-06,4.146738625930341e-06
30.0,5475.819750475867,7.433468686225666e-06,6.9558040497920225e-06,4.47525153941904e-06
31.0,5545.2032932452785,7.879064722976987e-06,7.388222395361121e-06,4.813357908172784e-06
32.0,5613.2214190635805,8.330598153481876e-06,7.827278556673296e-06,5.16071522818614e-06
33.0,5679.942444401997,8.787685963018764e-06,8.272584004652378e-06,5.516991340433468e-06
34.0,5745.429318074745,9.249969467378196e-06,8.723773115967217e-06,5.881864561226343e-06
35.0,5809.740187250902,9.7171125778126e-06,9.180501689006187e-06,6.255023706548504e-06
36.0,5872.928889427292,1.0188800196217959e-05,9.642445553332195e-06,6.636168032871068e-06
37.0,5935.045381821764,1.0664736732085333e-05,1.0109299269585166e-05,7.025007112714857e-06
38.0,5996.136117612559,1.1144644732744701e-05,1.0580774915946465e-05,7.42126065978699e-06
39.0,6056.244376820631,1.1628263618623177e-05,1.1056600956776286e-05,7.824658315722976e-06
40.0,6115.410558318586,1.2115348515572736e-05,1.1536521188778388e-05,8.234939408188343e-06
41.0,6173.672438385102,1.2605669176738231e-05,1.2020293759965704e-05,8.651852688237092e-06
42.0,6231.065400355332,1.3099008986895427e-05,1.2507690256741722e-05,9.075156053309183e-06
43.0,6287.622639205741,1.3595164042664612e-05,1.2998494854536063e-05,9.504616261010442e-06
44.0,6343.375344325247,1.4093942302481927e-05,1.3492503527611214e-05,9.940008637806006e-06
45.0,6398.352863238636,1.4595162800673594e-05,1.398952331386914e-05,1.0381116785929525e-05
46.0,6452.582848644216,1.5098654920423549e-05,1.448937163071777e-05,1.082773229113266e-05
47.0,6506.091390790026,1.560425772084444e-05,1.499187563829624e-05,1.1279654433343922e-05
48.0,6558.903136929724,1.6111819313756507e-05,1.5496871646597635e-05,1.173668990185222e-05
49.0,6611.041399360711,1.6621196286145102e-05,1.600420456326346e-05,1.2198652516258634e-05
50.0,6662.528253345358,1.7132253164606833e-05,1.651372737905119e-05,1.2665362954137096e-05
51.0,6713.384626045091,1.7644861918407597e-05,1.7025300688193762e-05,1.3136648486096745e-05
