Voltage (V),Temperature (K),Red,Green,Blue
1.0,1483.3190764039393,1.0,0.626269369803153,0.022770047263964647
2.0,1935.6645677547358,1.0,0.7023510023463988,0.06520777183040112
3.0,2261.773669282446,1.0,0.7451064247270607,0.10752220251652667
4.0,2525.9550547577496,1.0,0.7741510413424412,0.14666766169703357
5.0,2751.940651983173,1.0,0.7958002222717407,0.1823951620527046
6.0,2951.5127402827356,1.0,0.8128641561858647,0.21500649201708225
7.0,3131.498654409408,1.0,0.8268283171546317,0.24488756231450495
8.0,3296.257546346057,1.0,0.8385687899596446,0.2723972077983662
9.0,3448.765820137195,1.0,0.8486433085956261,0.2978443215589857
10.0,3591.158569551818,1.0,0.8574276316000836,0.32148876240158325
11.0,3725.0265555221586,1.0,0.8651862404419438,0.34354809605312203
12.0,3851.5911535989494,1.0,0.8721118991498098,0.364204911017615
13.0,3971.8133328310087,1.0,0.8783491581874637,0.3836132574036016
14.0,4086.464662752871,1.0,0.8840090122045192,0.4019039467827668
15.0,4196.175324039659,1.0,0.8891784142568046,0.41918880836375777
16.0,4301.467593961351,1.0,0.8939266626903226,0.43556408058447765
17.0,4402.779826422175,1.0,0.8983098134726376,0.4511131136000065
18.0,4500.484020408599,1.0,0.9023738049054174,0.4659085306324831
19.0,4594.898948987906,1.0,0.9061567188492748,0.48001396610813496
20.0,4686.300143272244,1.0,0.9096904485342225,0.4934854723820245
21.0,4774.927602972341,1.0,0.9130019496477689,0.506372665879745
22.0,4860.991833901397,1.0,0.9161141931009872,0.5187196672151642
23.0,4944.678634363261,1.0,0.9190469005239287,0.5305658774040056
24.0,5026.152932363969,1.0,0.9218171190474285,0.5419466228310206
25.0,5105.561893262697,1.0,0.9244396755245412,0.5528936944308697
26.0,5183.037459974793,1.0,0.9269275391494107,0.5634358010520376
27.0,5258.69844701127,1.0,0.9292921136580067,0.5735989527654681
28.0,5332.652280215446,1.0,0.9315434748125778,0.5834067866378009
29.0,5404.996452561345,1.0,0.9336905649486832,0.5928808449767221
30.0,5475.819750475867,1.0,0.9357413535192846,0.60204081409689
31.0,5545.2032932452785,1.0,0.9377029704827189,0.6109047301180347
32.0,5613.2214190635805,1.0,0.9395818178316269,0.6194891570936182
33.0,5679.942444401997,1.0,0.9413836633973847,0.6278093418051843
34.0,5745.429318074745,1.0,0.9431137201839733,0.6358793487881095
35.0,5809.740187250902,1.0,0.9447767138119122,0.643712178536534
36.0,5872.928889427292,1.0,0.9463769401338767,0.6513198713362135
37.0,5935.045381821764,1.0,0.9479183146800888,0.6587135987689046
38.0,5996.136117612559,1.0,0.9494044152756616,0.6659037446014022
39.0,6056.244376820631,1.0,0.9508385189228642,0.6728999765013446
40.0,6115.410558318586,1.0,0.9522236338434392,0.6797113097987547
41.0,6173.672438385102,1.0,0.9535625274180013,0.6863461643276121
42.0,6231.065400355332,1.0,0.9548577506324887,0.6928124152283729
43.0,6287.622639205741,1.0,0.9561116595389308,0.6991174384643589
44.0,6343.375344325247,1.0,0.957326434154282,0.705268151697739
45.0,6398.352863238636,1.0,0.9585040951529158,0.7112710510807332
46.0,6452.582848644216,1.0,0.9596465186523591,0.7171322444416075
47.0,6506.091390790026,1.0,0.9607554493457149,0.7228574812806611
48.0,6558.903136929724,1.0,0.9618325121959491,0.7284521799367042
49.0,6611.041399360711,1.0,0.9628792228754347,0.7339214522378897
50.0,6662.528253345358,1.0,0.9638969971075699,0.739270125910946
51.0,6713.384626045091,1.0,0.9648871590450083,0.7445027649886133
52.0,6763.6303774513135,1.0,0.9658509488003096,0.7496236884257667
53.0,6813.284374172694,1.0,0.9667895292289691,0.7546369871092898
54.0,6862.364556831594,1.0,0.9677039920513972,0.7595465394248894
55.0,6910.888001730724,1.0,0.9685953633889902,0.7643560255250204
56.0,6958.870977371947,1.0,0.9694646087797311,0.7690689404255721
57.0,7006.328996340837,1.0,0.9703126377304245,0.7736886060445757
58.0,7053.276863011191,1.0,0.9711403078555424,0.7782181822836448
59.0,7099.7287174722605,1.0,0.9719484286465132,0.7826606772418343
60.0,7145.698076036397,1.0,0.9727377649099946,0.787018956641984
61.0,7191.197868645663,1.0,0.9735090399090873,0.7912957525411096
62.0,7236.2404734615275,1.0,0.9742629382374812,0.7954936713889618
63.0,7280.837748891574,1.0,0.9750001084530572,0.7996152014922531
64.0,7325.0010632806525,1.0,0.9757211654944947,0.8036627199362455
65.0,7368.741322470461,1.0,0.9764266929017683,0.8076384990102268
66.0,7412.0689954108975,1.0,0.9771172448591532,0.8115447121788096
67.0,7454.994137988224,1.0,0.977793348077333,0.8153834396369174
68.0,7497.526415218834,1.0,0.9784555035294167,0.8191566734827085
69.0,7539.675121943038,1.0,0.9791041880541488,0.8228663225394278
70.0,7581.449202140436,1.0,0.979739855838186,0.826514216854306
71.0,7622.857266976961,1.0,0.9803629397881259,0.8301021119000277
72.0,7663.90761168356,1.0,0.9809738528018739,0.8336316925019656
73.0,7704.608231357195,1.0,0.9815729889480002,0.8371045765123195
74.0,7744.966835766809,1.0,0.9821607245608844,0.8405223182503903
75.0,7784.990863239419,1.0,0.9827374192586804,0.843886411726585
76.0,7824.687493694966,1.0,0.9833034168904684,0.84719829366617
77.0,7864.063660892573,1.0,0.9838590464183856,0.8504593463474817
78.0,7903.12606394551,1.0,0.9844046227399287,0.8536709002680188
79.0,7941.881178157312,1.0,0.9849404474552168,0.8568342366507453
80.0,7980.335265227129,1.0,0.9854668095834935,0.8599505898019089
81.0,8018.494382868433,1.0,0.9859839862328461,0.8630211493307594
82.0,8056.364393881591,1.0,0.9864922432266774,0.8660470622407261
83.0,8093.9509747175825,1.0,0.9869918356902377,0.8690294349008258
84.0,8131.259623567165,1.0,0.9874830086001797,0.8719693349054269
85.0,8168.2956680071065,1.0,0.987965997299876,0.8748677928298094
86.0,8205.064272232634,1.0,0.9884410279830064,0.877725803888437
87.0,8241.57044390305,1.0,0.988908318147688,0.880544329502294
88.0,8277.819040625376,1.0,0.9893680770232728,0.8833242987811862
89.0,8313.814776099061,1.0,0.9898205059717234,0.8860666099264464
90.0,8349.562225943067,1.0,0.9902657988653585,0.8887721315591022
91.0,8385.065833225079,1.0,0.9907041424425808,0.8914417039781728
92.0,8420.329913711177,1.0,0.9911357166431158,0.8940761403534471
93.0,8455.358660852968,1.0,0.9915606949241217,0.8966762278567636
94.0,8490.156150527975,1.0,0.9919792445584696,0.8992427287355514
95.0,8524.72634554799,1.0,0.9923915269163661,0.9017763813320899
96.0,8559.073099949068,1.0,0.9927976977314027,0.9042779010517569
97.0,8593.200163075877,1.0,0.99319790735206,0.9067479812832595
98.0,8627.111183472289,1.0,0.9935923009795797,0.9091872942736727
99.0,8660.809712589287,1.0,0.9939810188930889,0.9115964919609029
100.0,8694.299208320494,1.0,0.9943641966627652,0.9139762067660245
