Temperature (K),Red,Green,Blue
1000,1.0,0.5160269022296607,0.002737033420132225
1100,1.0,0.5415872564598941,0.0048941664621647675
1200,1.0,0.5657071870015585,0.007992918419718602
1300,1.0,0.5883696633157796,0.012154646739895853
1400,1.0,0.6096106306888295,0.017456330087811018
1500,1.0,0.6294953697690147,0.02393214351614396
1600,1.0,0.6481038879485637,0.031578854718194424
1700,1.0,0.6655219632819703,0.04036293666745662
1800,1.0,0.6818357550545463,0.050227954205532464
1900,1.0,0.6971286667229042,0.06110137915252969
2000,1.0,0.7114796258939373,0.07290042787784513
2100,1.0,0.7249622485477875,0.08553679920518273
2200,1.0,0.7376445473560895,0.09892035387715495
2300,1.0,0.7495889671286243,0.11296185783621315
2400,1.0,0.7608526093911677,0.1275749414152621
2500,1.0,0.7714875588148058,0.14267742725514126
2600,1.0,0.7815412568266175,0.15819216574212083
2700,1.0,0.7910568887027023,0.17404749670239067
2800,1.0,0.8000737639152762,0.19017743492841965
2900,1.0,0.808627678130385,0.20652165738118522
3000,1.0,0.8167512507401863,0.2230253527227494
3100,1.0,0.8244742352668575,0.23963897949058321
3200,1.0,0.8318238021090643,0.25631796761304665
3300,1.0,0.8388247943811945,0.2730223887757511
3400,1.0,0.8454999583235463,0.28971661400758814
3500,1.0,0.8518701501363828,0.30636897139247565
3600,1.0,0.8579545212420799,0.3229514126933145
3700,1.0,0.8637706839922721,0.3394391946111096
3800,1.0,0.8693348597667199,0.3558105781569465
3900,1.0,0.8746620112933836,0.3720465479954008
4000,1.0,0.8797659608785399,0.3881305524726017
4100,1.0,0.8846594960862627,0.40404826425133816
4200,1.0,0.8893544642576605,0.4197873609471584
4300,1.0,0.8938618571173501,0.4353373248228982
4400,1.0,0.898191886580865,0.45068926040100454
4500,1.0,0.9023540527536082,0.4658357287533282
4600,1.0,0.9063572050000995,0.48077059719681126
4700,1.0,0.9102095968614353,0.4954889031386633
4800,1.0,0.9139189355087093,0.5099867308601045
4900,1.0,0.9174924263397947,0.5242611000919762
5000,1.0,0.9209368132556996,0.5383098653101281
5100,1.0,0.9242584150896741,0.5521316247578053
5200,1.0,0.9274631586066935,0.5657256382822584
5300,1.0,0.9305566084419662,0.5790917531508709
5400,1.0,0.933543994304035,0.5922303370866208
5500,1.0,0.9364302357301758,0.6051422178326387
5600,1.0,0.9392199646485009,0.6178286286205343
5700,1.0,0.9419175459719451,0.6302911589768835
5800,1.0,0.9445270964236399,0.6425317103567966
5900,1.0,0.9470525017705858,0.6545524561430976
6000,1.0,0.9494974326227257,0.6663558055945693
6100,1.0,0.9518653589370546,0.6779443713673015
6200,1.0,0.9541595633510668,0.6893209402697918
6300,1.0,0.956383153456314,0.7004884469453725
6400,1.0,0.9585390731109419,0.7114499502052306
6500,1.0,0.9606301128795549,0.7222086117619303
6600,1.0,0.9626589196794799,0.7327676771373463
6700,1.0,0.9646280057043116,0.7431304585405041
6800,1.0,0.9665397566883214,0.7533003195302316
6900,1.0,0.968396439568925,0.7632806612950108
7000,1.0,0.970200209598668,0.7730749103981793
7100,1.0,0.9719531169531074,0.7826865078508309
7200,1.0,0.9736571128764974,0.7921188993875696
7300,1.0,0.9753140554031232,0.8013755268318543
7400,1.0,0.9769257146885827,0.8104598204481244
7500,1.0,0.9784937779820793,0.8193751921873379
7600,1.0,0.98001985426797,0.8281250297411531
7700,1.0,0.9815054786021965,0.8367126913276792
7800,1.0,0.9829521161669853,0.8451415011388114
7900,1.0,0.9843611660650843,0.8534147453854922
8000,1.0,0.9857339648729844,0.8615356688830513
8100,1.0,0.9870717899708848,0.8695074721240279
8200,1.0,0.9883758626656509,0.8773333087906425
8300,1.0,0.9896473511216547,0.885016283663436
8400,1.0,0.9908873731131593,0.8925594508865452
8500,1.0,0.992096998610785,0.8999658125536573
8600,1.0,0.9932772522135819,0.9072383175819668
8700,1.0,0.9944291154373275,0.9143798608444491
8800,1.0,0.9955535288688152,0.9213932825334336
8900,1.0,0.9966513941951465,0.9282813677309757
9000,1.0,0.9977235761163588,0.9350468461637522
9100,1.0,0.9987709041490622,0.9416923921222359
9200,1.0,0.9997941743282004,0.9482206245258213
9300,0.9992064793615351,1.0,0.9538765852510579
9400,0.9982315654940641,1.0,0.9592359975423914
9500,0.9972802880195065,1.0,0.9644964975479274
9600,0.9963518449073637,1.0,0.9696604487647419
9700,0.9954454686167974,1.0,0.9747301518857853
9800,0.9945604243102879,1.0,0.9797078463172872
9900,0.9936960081754563,1.0,0.9845957116884341
10000,0.9928515458475236,1.0,0.9893958693496261
